-1.000000000000000000e+01,-1.172520234751295298e+00,-1.172520234751295298e+00,-1.172520234751295298e+00
-9.000000000000000000e+00,-1.056288514723043193e+00,-1.056288514723043193e+00,-1.056288514723043193e+00
-8.000000000000000000e+00,-9.397350389807097581e-01,-9.397350389807097581e-01,-9.397350389807097581e-01
-7.000000000000000000e+00,-8.228953108420846707e-01,-8.228953108420846707e-01,-8.228953108420846707e-01
-6.000000000000000000e+00,-7.058049208202058500e-01,-7.058049208202058500e-01,-7.058049208202058500e-01
-5.000000000000000000e+00,-5.884995357821651840e-01,-5.884995357821651840e-01,-5.884995357821651840e-01
-4.000000000000000000e+00,-4.710148880846023456e-01,-4.710148880846023456e-01,-4.710148880846023456e-01
-3.000000000000000000e+00,-3.533867646893050773e-01,-3.533867646893050773e-01,-3.533867646893050773e-01
-2.000000000000000000e+00,-2.356509962621433640e-01,-2.356509962621433640e-01,-2.356509962621433640e-01
-1.000000000000000000e+00,-1.178434462587233805e-01,-1.178434462587233805e-01,-1.178434462587233805e-01
0.000000000000000000e+00,2.072512819139134742e-15,2.072512819139134742e-15,2.072512819139134742e-15
1.000000000000000000e+00,1.178434462587275577e-01,1.178434462587275577e-01,1.178434462587275577e-01
2.000000000000000000e+00,2.356509962621475551e-01,2.356509962621475551e-01,2.356509962621475551e-01
3.000000000000000000e+00,3.533867646893092407e-01,3.533867646893092407e-01,3.533867646893092407e-01
4.000000000000000000e+00,4.710148880846064534e-01,4.710148880846064534e-01,4.710148880846064534e-01
5.000000000000000000e+00,5.884995357821694029e-01,5.884995357821694029e-01,5.884995357821694029e-01
6.000000000000000000e+00,7.058049208202101799e-01,7.058049208202101799e-01,7.058049208202101799e-01
7.000000000000000000e+00,8.228953108420890006e-01,8.228953108420890006e-01,8.228953108420890006e-01
8.000000000000000000e+00,9.397350389807134219e-01,9.397350389807134219e-01,9.397350389807134219e-01
9.000000000000000000e+00,1.056288514723047189e+00,1.056288514723047189e+00,1.056288514723047189e+00
1.000000000000000000e+01,1.172520234751299517e+00,1.172520234751299517e+00,1.172520234751299517e+00
